id,year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour,name
0,2013,1,1,517,515,2,830,819,11,UA,1545,N14228,EWR,IAH,227,1400,5,15,1/1/13 5:00,United Air Lines Inc.
1,2013,1,1,533,529,4,850,830,20,UA,1714,N24211,LGA,IAH,227,1416,5,29,1/1/13 5:00,United Air Lines Inc.
2,2013,1,1,542,540,2,923,850,33,AA,1141,N619AA,JFK,MIA,160,1089,5,40,1/1/13 5:00,American Airlines Inc.
3,2013,1,1,544,545,-1,1004,1022,-18,B6,725,N804JB,JFK,BQN,183,1576,5,45,1/1/13 5:00,JetBlue Airways
4,2013,1,1,554,600,-6,812,837,-25,DL,461,N668DN,LGA,ATL,116,762,6,0,1/1/13 6:00,Delta Air Lines Inc.
5,2013,1,1,554,558,-4,740,728,12,UA,1696,N39463,EWR,ORD,150,719,5,58,1/1/13 5:00,United Air Lines Inc.
6,2013,1,1,555,600,-5,913,854,19,B6,507,N516JB,EWR,FLL,158,1065,6,0,1/1/13 6:00,JetBlue Airways
7,2013,1,1,557,600,-3,709,723,-14,EV,5708,N829AS,LGA,IAD,53,229,6,0,1/1/13 6:00,ExpressJet Airlines Inc.
8,2013,1,1,557,600,-3,838,846,-8,B6,79,N593JB,JFK,MCO,140,944,6,0,1/1/13 6:00,JetBlue Airways
9,2013,1,1,558,600,-2,753,745,8,AA,301,N3ALAA,LGA,ORD,138,733,6,0,1/1/13 6:00,American Airlines Inc.
10,2013,1,1,558,600,-2,849,851,-2,B6,49,N793JB,JFK,PBI,149,1028,6,0,1/1/13 6:00,JetBlue Airways
11,2013,1,1,558,600,-2,853,856,-3,B6,71,N657JB,JFK,TPA,158,1005,6,0,1/1/13 6:00,JetBlue Airways
12,2013,1,1,558,600,-2,924,917,7,UA,194,N29129,JFK,LAX,345,2475,6,0,1/1/13 6:00,United Air Lines Inc.
13,2013,1,1,558,600,-2,923,937,-14,UA,1124,N53441,EWR,SFO,361,2565,6,0,1/1/13 6:00,United Air Lines Inc.
14,2013,1,1,559,600,-1,941,910,31,AA,707,N3DUAA,LGA,DFW,257,1389,6,0,1/1/13 6:00,American Airlines Inc.
15,2013,1,1,559,559,0,702,706,-4,B6,1806,N708JB,JFK,BOS,44,187,5,59,1/1/13 5:00,JetBlue Airways
16,2013,1,1,559,600,-1,854,902,-8,UA,1187,N76515,EWR,LAS,337,2227,6,0,1/1/13 6:00,United Air Lines Inc.
17,2013,1,1,600,600,0,851,858,-7,B6,371,N595JB,LGA,FLL,152,1076,6,0,1/1/13 6:00,JetBlue Airways
18,2013,1,1,600,600,0,837,825,12,MQ,4650,N542MQ,LGA,ATL,134,762,,0,1/1/13 6:00,Envoy Air
19,2013,1,1,601,600,1,844,850,-6,B6,343,N644JB,EWR,PBI,147,1023,6,0,1/1/13 6:00,JetBlue Airways
20,2013,1,1,602,610,-8,812,820,-8,DL,1919,N971DL,LGA,,170,1020,6,10,1/1/13 6:00,Delta Air Lines Inc.
21,2013,1,1,602,605,,821,805,16,MQ,4401,N730MQ,LGA,DTW,105,502,6,5,1/1/13 6:00,Envoy Air
22,2013,,1,606,610,-4,858,910,-12,AA,1895,N633AA,EWR,MIA,152,1085,6,10,1/1/13 6:00,American Airlines Inc.
23,2013,1,1,606,610,-4,837,845,-8,DL,1743,N3739P,JFK,ATL,128,760,6,10,1/1/13 6:00,Delta Air Lines Inc.
