Year,KBPY
2008,1829880
2007,1851974
2006,1856340
2005,1892095
2004,1991394
2003,2061995
2002,2096588
2001,2117511
2000,2130707
1999,2146732
1998,2281919
1997,2354831
1996,2366017
1995,2394268
1994,2431476
1993,2499033
1992,2624632
1991,2707039
1990,2684687
1989,2778773
1988,2979123
1987,3047378
1986,3168252
1985,3274553
1984,3249696
1983,3170999
1982,3156715
1981,3128624
1980,3146365
1979,3121310
1978,3178216
1977,3009265
1976,2976180
1975,3056779
1974,3202585
1973,3360903
1972,3455368
1971,3453914
1970,3517450
1969,3371751
1968,3329042
1967,3215742
1966,3027763
1965,2848514
1964,2786822
1963,2752723
1962,2676189
1961,2621758
1960,2574933
1959,2574590
1958,2448987
1957,2616901
1956,2617283
1955,2484428
1954,2314988
1953,2357082
1952,2289836
1951,2247711
1950,1973574
1949,1841940
1948,2020185
1947,1856987
1946,1733424
1945,1713655
1944,1677904
1943,1505613
1942,1385479
1941,1404182
1940,1503176
1939,1264256
1938,1213254
1937,1277653
1936,1098513
1935,993942
1934,908065
1933,905656
1932,785159
1931,851081
1930,898011
1929,1007323
1928,901474
1927,901129
1926,770874
1925,620373
1924,713940
1923,732407
1922,557531
1921,472183
1920,442929
1919,378367
1918,355928
1917,335316
1916,300767
1915,281104
1914,265763
1913,248446
1912,222935
1911,220449
1910,209557
1909,183171
1908,178527
1907,166095
1906,126494
1905,134717
1904,117081
1903,100461
1902,88767
1901,69389
1900,63621
1899,57071
1898,55364
1897,60476
1896,60960
1895,52892
1894,49344
1893,48431
1892,50515
1891,54293
1890,45824
1889,35164
1888,27612
1887,28283
1886,28065
1885,21859
1884,24218
1883,23450
1882,30350
1881,27661
1880,26286
1879,19914
1878,15397
1877,13350
1876,9133
1875,12163
1874,10927
1873,9894
1872,6293
1871,5205
1870,5261
1869,4215
1868,3646
1867,3347
1866,3598
1865,2498
1864,2116
1863,2611
1862,3057
1861,2114
1860,500
1859,2
