vp(m/s),vs(m/s),ro(g/cc)
4059.33,2148.06,2.54
4072.04,2152.08,2.54
4171.29,2167.94,2.54
4198.29,2174.35,2.55
4229.56,2193.71,2.55
4237.29,2203.12,2.55
4237.29,2203.12,2.55
4237.29,2203.12,2.55
4237.29,2203.12,2.55
4237.29,2203.12,2.55
4237.29,2203.12,2.55
4237.29,2203.12,2.55
4237.29,2203.12,2.55
4237.29,2203.12,2.55
4237.29,2203.12,2.55
4237.29,2203.12,2.55
4237.29,2203.12,2.55
4237.29,2203.12,2.55
4237.29,2203.12,2.55
4237.29,2203.12,2.55
4237.29,2203.12,2.55
4237.29,2203.12,2.55
4237.29,2203.12,2.55
4237.29,2203.12,2.55
4237.29,2203.12,2.55
4237.29,2203.12,2.55
4229.56,2203.12,2.55
4171.29,2174.35,2.55
4104.82,2167.94,2.54
4029.55,2152.08,2.54
4029.55,2148.06,2.54
4029.55,2137.20,2.54
4023.58,2113.93,2.53
4018.13,2107.40,2.52
4009.87,2106.90,2.51
4002.13,2076.90,2.51
3998.21,2074.91,2.50
3993.40,2065.73,2.49
3979.49,2048.59,2.49
3952.68,2042.28,2.49
3946.53,2025.12,2.49
3907.62,2018.32,2.48
3878.48,1983.08,2.48
3871.89,1955.99,2.48
3808.59,1949.87,2.48
3771.92,1905.80,2.47
3761.22,1899.97,2.47
3737.40,1898.44,2.46
3730.21,1896.80,2.46
3727.34,1893.87,2.46
3727.23,1888.41,2.45
3727.23,1888.41,2.44
3727.23,1888.41,2.44
3727.23,1888.41,2.44
3727.23,1888.41,2.44
3727.23,1888.41,2.44
3727.23,1888.41,2.44
3727.23,1888.41,2.44
3720.83,1888.41,2.43
3709.44,1885.77,2.43
3706.87,1881.73,2.43
3696.49,1875.24,2.43
3688.28,1860.21,2.42
3688.28,1860.21,2.42
3688.28,1860.21,2.42
3688.28,1860.21,2.42
3696.49,1875.24,2.42
3706.87,1881.73,2.42
3709.44,1885.77,2.42
3720.83,1888.41,2.42
3727.23,1893.87,2.42
3727.34,1896.80,2.42
3730.21,1899.97,2.42
3737.40,1905.80,2.42
3761.22,1929.88,2.42
3763.12,1955.99,2.43
3803.23,1984.35,2.43
3808.59,1988.65,2.43
3871.89,2025.12,2.43
3885.16,2025.12,2.43
3885.16,2025.12,2.43
3885.16,2025.12,2.43
3885.16,2025.12,2.43
3885.16,2096.20,2.43
3991.27,2145.61,2.43
4022.60,2150.08,2.43
4062.74,2150.08,2.44
4099.99,2150.08,2.45
4107.06,2150.08,2.47
4121.97,2150.08,2.47
4149.78,2150.08,2.48
4205.74,2150.08,2.49
4216.65,2150.08,2.49
4218.08,2150.08,2.50
4262.40,2150.08,2.51
4278.70,2150.08,2.51
4440.24,2150.08,2.51
4458.16,2150.08,2.52
4469.91,2150.08,2.53
4474.89,2150.08,2.53
4478.22,2150.08,2.53
4519.18,2150.08,2.54
4548.74,2150.08,2.54
4640.58,2145.61,2.54
4652.74,2118.99,2.54
4652.74,2118.99,2.54
4652.74,2118.99,2.55
4674.83,2118.90,2.55
4694.98,2118.90,2.55
4704.65,2118.99,2.55
4739.22,2125.33,2.55
4750.20,2140.05,2.56
4766.70,2145.09,2.56
4813.69,2145.61,2.56
4828.87,2150.08,2.56
4830.98,2162.82,2.56
4871.10,2162.82,2.56
4889.10,2162.82,2.56
4893.15,2162.82,2.56
4905.12,2162.82,2.56
