vp(m/s),vs(m/s),ro(g/cc)
4412.68,2548.15,2.58
4413.84,2553.23,2.59
4433.23,2594.99,2.59
4433.23,2605.63,2.59
4433.23,2605.63,2.59
4433.23,2594.99,2.59
4433.23,2578.86,2.59
4433.23,2553.23,2.59
4462.58,2548.15,2.59
4471.32,2548.15,2.59
4516.34,2548.15,2.60
4560.40,2548.15,2.60
4576.78,2548.15,2.59
4579.75,2548.15,2.59
4579.75,2548.15,2.59
4579.75,2548.15,2.59
4579.75,2548.15,2.59
4579.75,2553.23,2.59
4585.93,2578.86,2.59
4643.67,2598.30,2.59
4646.50,2598.30,2.59
4646.50,2598.30,2.59
4646.50,2598.30,2.59
4646.50,2598.30,2.59
4646.50,2598.30,2.59
4646.50,2598.30,2.59
4646.50,2598.30,2.59
4646.50,2609.68,2.59
4646.50,2612.14,2.59
4646.50,2612.56,2.58
4646.50,2612.56,2.58
4646.50,2612.56,2.58
4646.50,2612.56,2.58
4646.50,2612.56,2.57
4646.50,2612.56,2.56
4646.50,2612.56,2.56
4646.50,2612.56,2.56
4646.50,2612.56,2.56
4646.50,2618.76,2.56
4646.50,2619.91,2.56
4646.50,2625.78,2.56
4646.50,2625.78,2.56
4646.50,2625.78,2.55
4646.50,2625.78,2.55
4646.50,2625.78,2.55
4644.75,2618.76,2.54
4643.67,2615.65,2.54
4628.54,2612.56,2.54
4607.85,2612.14,2.54
4581.81,2609.68,2.54
4552.97,2600.65,2.54
4525.41,2598.30,2.54
4524.73,2594.82,2.54
4507.80,2578.86,2.54
4493.64,2571.42,2.54
4487.76,2564.33,2.54
4479.98,2564.33,2.54
4467.86,2564.33,2.54
4467.86,2564.33,2.54
4467.86,2564.33,2.54
4467.86,2563.34,2.54
4467.86,2562.14,2.54
4467.86,2557.23,2.54
4467.86,2553.13,2.54
4467.86,2551.63,2.54
4467.86,2551.31,2.54
4446.63,2550.29,2.54
4445.49,2544.06,2.54
4420.43,2543.26,2.54
4417.61,2538.44,2.54
4414.40,2532.03,2.54
4412.54,2529.21,2.54
4409.59,2528.89,2.54
4399.70,2528.89,2.55
4398.32,2528.89,2.56
4393.16,2528.89,2.56
4384.08,2528.01,2.56
