%z(ft),GR(API),NPHI(.),RHOB(g/cc),CALI(in) 
13200.0,91.57,0.0114,2.5330,6.053
13199.5,91.60,0.0114,2.5422,6.059
13199.0,91.63,0.0114,2.5553,6.065
13198.5,91.61,0.0114,2.5560,6.061
13198.0,91.54,0.0114,2.5549,6.045
13197.5,91.60,0.0114,2.5514,6.059
13197.0,91.61,0.0114,2.5605,6.061
13196.5,91.63,0.0114,2.5646,6.065
13196.0,91.65,0.0114,2.5768,6.071
13195.5,91.78,0.0114,2.5776,6.101
13195.0,91.75,0.0114,2.5911,6.093
13194.5,91.88,0.0114,2.5877,6.125
13194.0,91.68,0.0114,2.5763,6.077
13193.5,91.68,0.0114,2.5598,6.077
13193.0,91.86,0.0114,2.5597,6.119
13192.5,91.95,0.0114,2.5762,6.141
13192.0,91.99,0.0114,2.6127,6.149
13191.5,91.95,0.0114,2.6262,6.141
13191.0,91.96,0.0114,2.6348,6.143
13190.5,91.96,0.0114,2.6203,6.143
13190.0,91.92,0.0114,2.6162,6.133
13189.5,91.78,0.0166,2.6080,6.101
13189.0,91.85,0.0258,2.5918,6.117
13188.5,91.95,0.0381,2.5794,6.141
13188.0,91.88,0.0478,2.5703,6.125
13187.5,91.92,0.0579,2.5624,6.133
13187.0,91.96,0.0730,2.5725,6.143
13186.5,91.99,0.0837,2.5988,6.149
13186.0,91.99,0.1122,2.6297,6.149
13185.5,91.96,0.7337,2.6165,6.143
13185.0,91.94,0.3847,2.5828,6.137
13184.5,91.95,0.3018,2.5590,6.141
13184.0,92.09,0.2294,2.5680,6.173
13183.5,91.96,3.3808,2.5887,6.143
13183.0,91.91,3.3808,2.6036,6.131
13182.5,92.01,1.1146,2.6121,6.155
13182.0,92.01,0.2414,2.6073,6.155
13181.5,91.99,0.0816,2.6040,6.149
13181.0,91.95,0.0604,2.6251,6.141
13180.5,91.94,0.0950,2.6598,6.137
13180.0,91.88,0.1185,2.6969,6.125
13179.5,91.81,0.1150,2.7464,6.107
13179.0,92.19,0.1179,2.7480,6.196
13178.5,112.47,0.1255,2.7155,6.101
13178.0,130.94,0.1228,2.6585,6.071
13177.5,149.40,0.1235,2.5949,6.167
13177.0,149.88,0.1244,2.5558,6.109
13176.5,148.83,0.1265,2.5115,6.085
13176.0,153.85,0.1225,2.5122,6.117
13175.5,150.76,0.1315,2.5219,6.113
13175.0,156.49,0.1272,2.5287,6.119
13174.5,155.74,0.1276,2.5312,6.149
13174.0,158.58,0.1178,2.5239,6.133
13173.5,154.01,0.1216,2.5170,6.125
13173.0,149.98,0.1254,2.5117,6.107
13172.5,149.45,0.1206,2.5022,6.119
13172.0,150.98,0.1227,2.4997,6.125
13171.5,159.69,0.1260,2.5101,6.109
13171.0,152.69,0.1239,2.5322,6.085
13170.5,151.40,0.1283,2.5398,6.095
13170.0,142.99,0.1288,2.5339,6.085
13169.5,146.68,0.1394,2.5315,6.077
13169.0,148.83,0.1388,2.5371,6.083
13168.5,150.66,0.1313,2.5471,6.089
13168.0,156.60,0.1233,2.5485,6.085
13167.5,159.56,0.1245,2.5366,6.101
13167.0,157.30,0.1286,2.5228,6.069
13166.5,154.33,0.1248,2.5193,6.065
13166.0,147.39,0.1266,2.5292,6.069
13165.5,150.10,0.1344,2.5482,6.069
13165.0,148.31,0.1383,2.5744,6.077
13164.5,149.31,0.1328,2.6244,6.093
13164.0,151.30,0.1409,2.6868,6.095
13163.5,150.89,0.1412,2.7175,6.093
13163.0,150.33,0.1420,2.7050,6.101
